student_id,term,attendance_rate,attendance_count,behavior_count,behavior_severity_score,quiz_score,mid_score,final_score,quiz_max,mid_max,final_max,previous_grade,current_grade,decline
1021,2025 Term 3,0.61,18,0,0.0,7.38,34.26,30.48,10,40,50,79.49,63.4,1
1022,2023 Term 3,0.78,18,5,3.0,0.26,30.82,27.13,10,40,50,59.72,58.12,1
1023,2025 Term 1,0.65,23,4,2.11,8.06,22.21,27.27,20,30,50,55.87,58.29,1
1024,2024 Term 2,0.9,21,0,0.0,15,14.53,44.04,15,25,60,69.81,78.5,0
1025,2023 Term 2,0.79,19,1,0.58,14.63,20.51,54.25,15,25,60,91.85,79.52,1
1026,2025 Term 3,0.75,20,1,0.51,10,10.17,48.54,10,20,70,64.08,64.2,0
1027,2024 Term 2,0.77,22,0,0.0,10,24.86,36.05,10,40,50,65.0,76.59,0
1028,2023 Term 3,0.7,23,5,2.86,0,18.57,46.63,10,20,70,59.58,55.78,1
1029,2024 Term 3,0.77,22,3,1.35,12.1,27.47,44.17,20,30,50,76.38,79.46,1
1030,2024 Term 1,0.91,23,4,3.0,10,30.41,41.31,10,40,50,77.51,74.32,0
1031,2023 Term 3,0.95,21,5,3.0,10,32.5,39.84,10,40,50,78.61,84.94,0
1032,2023 Term 2,0.71,21,3,1.47,4.49,32.07,41.16,10,40,50,73.29,78.28,1
1033,2025 Term 1,0.9,20,2,1.08,9.88,25,46.61,15,25,60,88.52,73.34,1
1034,2024 Term 2,0.68,19,0,0.0,5.07,34.17,36.56,10,40,50,83.55,67.65,1
1035,2024 Term 1,0.85,20,0,0.0,15,25,52.57,15,25,60,87.72,89.47,0
1036,2024 Term 3,0.91,22,5,3.0,7.04,15.54,38.62,15,25,60,57.93,53.24,0
1037,2025 Term 1,0.83,23,4,2.51,7.5,19.95,29.84,10,40,50,56.17,56.57,0
1038,2024 Term 3,0.71,21,5,2.43,10,32.1,36.32,10,40,50,80.96,72.96,1
1039,2024 Term 3,0.61,18,5,2.62,0.38,11.71,44.83,10,30,60,58.7,59.22,1
1040,2025 Term 2,0.57,21,1,0.69,6.78,23.88,37.13,10,40,50,59.88,69.81,0
1041,2023 Term 2,0.83,24,1,0.72,10.88,19.88,53.29,15,25,60,77.99,76.18,0
1042,2025 Term 2,0.65,23,4,2.11,8.2,28.65,32.06,10,40,50,74.2,67.68,1
1043,2023 Term 3,0.61,23,3,1.51,10,16.61,44.45,10,30,60,70.81,64.89,1
1044,2025 Term 2,0.61,18,1,0.51,20,15.35,29.09,20,30,50,62.57,56.88,0
1045,2024 Term 1,0.67,18,2,1.23,0,32.24,32.49,10,40,50,69.05,69.87,0
1046,2023 Term 1,0.58,24,3,1.77,9.49,17.52,38.82,20,30,50,71.2,64.44,1
1047,2025 Term 3,0.79,24,3,1.46,6.91,27.0,38.74,10,40,50,77.42,74.24,1
1048,2025 Term 2,0.58,19,0,0.0,11.89,11.48,46.01,15,25,60,63.55,66.77,0
1049,2023 Term 1,0.75,20,1,0.58,19.1,20.69,41.84,20,30,50,86.94,75.67,1
1050,2023 Term 2,0.81,21,0,0.0,11.45,17.75,47.88,20,30,50,69.72,67.58,0
1051,2024 Term 1,0.68,19,4,1.84,6.2,14.46,47.78,10,30,60,67.88,62.54,1
1052,2024 Term 3,0.58,19,5,3.0,10,11.73,25.9,10,30,60,44.62,48.47,1
1053,2025 Term 1,0.71,21,0,0.0,1.26,26.7,52.09,10,30,60,81.66,71.99,1
1054,2023 Term 1,0.65,20,5,2.74,11.48,8.38,35.04,15,25,60,54.74,51.84,1
1055,2024 Term 3,0.61,23,5,2.31,9.92,25.04,32.91,10,30,60,72.8,66.48,1
1056,2025 Term 2,0.67,21,2,1.06,10,15.15,48.75,10,30,60,69.8,71.34,0
1057,2025 Term 1,0.85,20,2,0.95,5.25,19.34,41.48,10,30,60,67.61,70.15,0
1058,2025 Term 3,0.72,18,0,0.0,7.48,34.25,41.73,10,40,50,85.79,81.31,0
1059,2023 Term 1,0.83,18,3,2.03,16.57,19.09,35.84,20,30,50,69.0,77.45,0
1060,2025 Term 3,0.75,20,2,1.05,1.16,17.37,36.5,10,30,60,55.6,57.23,0
1061,2023 Term 3,0.79,19,2,1.38,12.32,24.68,49.07,15,25,60,82.81,81.84,0
1062,2024 Term 2,0.5,18,1,0.51,7.6,16.25,40.49,10,20,70,70.24,62.19,1
1063,2023 Term 1,0.77,22,3,1.73,10,17.37,48.18,10,30,60,69.38,66.6,1
1064,2025 Term 2,0.78,18,1,0.46,15,13.22,41.13,15,25,60,70.28,66.01,0
1065,2024 Term 1,0.71,24,3,2.29,18.73,26.32,28.92,20,30,50,75.91,73.72,1
1066,2023 Term 2,0.92,24,2,1.33,3.43,23.51,39.39,10,30,60,64.87,67.36,0
1067,2025 Term 2,0.95,20,2,1.37,0.8,26.93,34.09,10,40,50,66.48,61.26,0
1068,2024 Term 1,0.81,21,1,0.66,20,16.8,31.99,20,30,50,65.71,70.77,0
1069,2024 Term 2,0.86,21,5,2.61,10,27.11,33.76,10,40,50,64.16,61.51,0
1070,2025 Term 1,0.74,23,2,0.82,10,26.63,45.21,10,30,60,89.05,87.83,0
1071,2024 Term 2,0.95,22,3,1.82,10,25.3,38.74,10,40,50,76.2,71.91,0
1072,2023 Term 2,0.76,21,2,1.06,10,12.12,54.24,10,20,70,72.97,81.48,0
1073,2025 Term 3,0.83,18,2,1.0,10,13.64,52.69,10,20,70,84.14,76.85,0
1074,2025 Term 3,0.86,21,1,0.61,15,21.19,51.33,15,25,60,82.78,86.31,0
1075,2024 Term 2,0.62,21,0,0.0,15,21.34,40.75,15,25,60,69.31,73.62,0
1076,2024 Term 1,0.88,24,0,0.0,8.11,27.45,49.0,10,30,60,80.93,87.92,0
1077,2025 Term 2,0.63,19,1,0.55,10.8,23.1,49.24,15,25,60,79.56,85.78,0
1078,2025 Term 1,0.5,20,2,1.46,16.16,23.53,32.79,20,30,50,75.04,76.32,0
1079,2025 Term 2,0.77,22,2,1.24,8.82,24.03,49.79,15,25,60,90.33,76.46,1
1080,2025 Term 1,0.53,19,0,0.0,10,32.72,33.4,10,40,50,78.74,79.25,0
1081,2023 Term 3,0.95,21,4,3.0,19.62,25.79,33.18,20,30,50,79.01,75.9,0
1082,2023 Term 3,0.67,21,0,0.0,12.44,25.23,40.25,20,30,50,83.55,81.56,0
1083,2025 Term 3,0.76,21,4,1.66,2.71,16.48,44.82,10,20,70,59.65,55.46,1
1084,2023 Term 2,0.79,24,3,1.4,20,15.15,41.18,20,30,50,73.02,72.33,1
1085,2023 Term 3,0.63,19,4,2.69,0.76,12.24,42.95,10,30,60,57.87,49.8,1
1086,2023 Term 3,0.74,19,3,1.51,10,13.44,44.93,10,20,70,69.12,59.55,1
1087,2024 Term 3,0.77,22,5,2.5,8.31,18.07,32.5,20,30,50,54.68,58.03,1
1088,2024 Term 2,0.91,23,5,2.79,7.89,16.27,52.25,10,20,70,69.19,76.11,0
1089,2025 Term 2,0.88,24,4,2.88,8.89,21.79,43.4,10,30,60,77.61,74.63,0
1090,2023 Term 3,1.0,23,2,1.43,9.06,18.82,47.12,10,20,70,71.72,76.96,0
1091,2023 Term 3,0.74,19,2,1.22,19.51,17.93,41.39,20,30,50,78.54,81.73,0
1092,2024 Term 3,0.88,24,0,0.0,10,27.56,57.48,10,30,60,100,97.91,0
1093,2024 Term 3,0.5,18,0,0.0,6.28,16.42,52.1,10,20,70,76.15,77.96,0
1094,2024 Term 3,0.67,18,3,1.23,7.59,18.78,44.03,15,25,60,72.57,67.83,1
1095,2024 Term 2,0.87,23,1,0.42,4.77,15.7,48.05,10,20,70,74.72,60.69,1
1096,2025 Term 2,0.55,20,3,1.9,10,20.77,43.21,10,30,60,75.83,79.0,1
1097,2024 Term 2,0.61,18,1,0.58,10,15.51,45.58,10,30,60,71.8,76.74,0
1098,2024 Term 3,0.72,18,1,0.79,0.73,25.03,38.84,10,40,50,72.14,55.41,1
1099,2024 Term 3,0.74,19,1,0.43,6.57,14.79,51.68,15,25,60,70.3,65.4,0
1100,2023 Term 1,0.65,20,1,0.62,0.9,26.55,36.21,10,30,60,61.39,66.27,0
1101,2024 Term 3,0.83,18,0,0.0,8.41,35.4,39.52,10,40,50,87.78,81.54,0
1102,2023 Term 2,0.76,21,4,1.67,7.24,19.37,33.23,15,25,60,67.82,63.4,1
1103,2025 Term 1,0.87,23,5,3.0,10,10.73,39.94,10,20,70,54.69,60.66,0
1104,2025 Term 3,0.78,23,4,2.45,6.7,25.48,38.35,10,40,50,64.36,71.01,1
1105,2025 Term 3,0.7,23,3,1.74,5.35,24.77,38.56,10,30,60,72.35,63.68,1
1106,2024 Term 3,0.83,23,1,0.67,0.73,35.26,30.95,10,40,50,60.49,68.76,0
1107,2023 Term 3,0.82,22,4,2.5,5.28,18.65,54.91,10,20,70,77.61,83.49,0
1108,2023 Term 1,0.7,20,2,0.88,6.14,20.09,38.0,15,25,60,57.96,67.76,0
1109,2024 Term 3,0.56,18,4,1.96,10,31.44,36.73,10,40,50,79.99,78.45,1
1110,2023 Term 1,0.68,22,0,0.0,20,20.53,31.97,20,30,50,66.79,73.02,0
1111,2023 Term 2,0.74,19,0,0.0,5.74,22.51,40.15,10,30,60,65.39,63.59,0
1112,2023 Term 2,0.89,18,4,1.68,3.68,16.93,51.05,10,20,70,70.73,66.03,0
1113,2025 Term 3,0.72,18,0,0.0,11.28,21.49,37.78,15,25,60,68.87,70.14,0
1114,2023 Term 1,0.84,19,1,0.71,12.58,16.1,42.77,20,30,50,66.26,67.53,0
1115,2024 Term 1,0.73,22,0,0.0,6.67,14.82,46.23,10,20,70,64.73,64.59,0
1116,2025 Term 1,0.65,23,2,0.89,10,9.42,57.09,10,20,70,75.87,77.54,0
1117,2024 Term 3,0.83,18,1,0.57,8.09,29.36,35.11,10,40,50,69.99,67.89,0
1118,2023 Term 3,0.78,18,4,2.42,10.88,26.31,35.77,20,30,50,67.32,64.6,1
1119,2024 Term 2,0.74,19,1,0.7,2.2,18.56,51.48,10,20,70,76.31,74.4,0
1120,2025 Term 2,0.65,23,2,1.49,7.83,14.07,32.48,20,30,50,51.23,48.77,0
1121,2023 Term 1,0.8,20,2,1.17,0.23,19.27,43.59,10,20,70,68.92,66.77,0
1122,2025 Term 3,0.67,21,4,3.0,5.21,16.36,44.8,10,20,70,63.51,63.98,1
1123,2023 Term 3,0.83,18,2,1.59,7.27,9.81,45.82,10,20,70,61.9,59.93,0
1124,2025 Term 3,0.86,22,2,1.53,5.86,27.0,38.34,10,40,50,75.83,71.56,0
1125,2023 Term 2,0.8,20,5,2.77,16.61,21.74,39.89,20,30,50,84.21,73.57,1
1126,2023 Term 3,0.75,20,1,0.64,4.38,13.13,57.26,10,20,70,79.78,75.49,0
1127,2025 Term 3,0.56,18,4,2.18,9.12,24.59,27.6,20,30,50,65.57,54.38,1
1128,2023 Term 3,0.89,19,0,0.0,15,25,40.7,15,25,60,78.09,82.96,0
1129,2023 Term 3,0.82,22,1,0.47,15,14.63,45.23,15,25,60,73.43,75.68,0
1130,2024 Term 1,0.71,21,5,3.0,6.67,15.72,42.34,10,30,60,64.23,68.09,1
1131,2024 Term 3,0.7,23,3,2.12,6.59,25.02,26.62,10,40,50,53.43,57.9,1
1132,2024 Term 2,0.56,18,2,1.24,9.94,13.34,39.16,10,20,70,55.78,55.0,0
1133,2025 Term 2,0.82,22,0,0.0,10,29.26,55.51,10,30,60,93.41,91.11,0
1134,2024 Term 3,0.84,19,2,0.98,20,27.34,40.35,20,30,50,92.35,79.89,1
1135,2024 Term 2,0.83,24,5,2.94,1.86,10.41,34.73,15,25,60,52.36,45.78,0
1136,2025 Term 3,0.9,21,1,0.52,3.76,17.83,57.79,10,20,70,72.38,82.77,0
1137,2025 Term 2,0.82,22,5,3.0,9.96,16.46,29.79,10,30,60,53.86,55.34,0
1138,2023 Term 3,0.78,23,4,3.0,10,13.3,49.54,10,20,70,72.96,63.17,1
1139,2025 Term 2,0.56,18,2,1.0,4.39,7.31,42.1,10,20,70,56.31,45.46,1
1140,2024 Term 3,0.89,19,4,2.14,10,23.89,51.25,10,30,60,84.8,78.06,0
1141,2023 Term 3,0.56,18,0,0.0,10,19.76,46.94,10,20,70,73.66,73.07,0
1142,2025 Term 3,0.9,21,5,2.38,19.81,14.7,37.85,20,30,50,68.73,75.15,0
1143,2025 Term 1,0.62,21,3,1.61,6.49,19.63,46.97,10,30,60,73.4,75.91,1
1144,2025 Term 1,0.61,18,1,0.62,7.68,18.65,31.42,20,30,50,56.88,59.23,0
1145,2023 Term 3,0.78,23,3,1.25,16.27,20.73,38.59,20,30,50,80.25,66.51,1
1146,2025 Term 1,0.75,20,0,0.0,14.47,18.51,39.77,15,25,60,68.53,73.07,0
1147,2024 Term 3,0.81,21,4,1.85,10,26.23,39.76,10,40,50,77.17,74.46,0
1148,2025 Term 1,0.65,20,1,0.78,10,14.11,47.39,10,20,70,72.49,65.69,0
1149,2024 Term 2,0.83,23,4,2.06,2.16,22.74,27.13,10,40,50,46.79,53.44,0
1150,2023 Term 2,0.71,24,5,2.69,7.08,9.64,40.39,10,20,70,51.63,58.46,1
1151,2023 Term 3,0.75,24,1,0.45,10,18.89,45.04,10,30,60,71.7,73.09,0
1152,2025 Term 2,0.79,24,4,3.0,3.32,19.73,48.53,10,20,70,71.99,73.89,1
1153,2023 Term 2,0.89,19,3,1.76,8.45,23.52,48.78,15,25,60,82.99,73.66,1
1154,2023 Term 3,0.81,21,0,0.0,10.49,21.31,43.42,20,30,50,72.76,80.27,0
1155,2024 Term 2,0.92,24,1,0.65,8.29,21.59,49.67,15,25,60,73.04,79.81,0
1156,2023 Term 3,0.53,19,5,3.0,16.66,17.66,33.8,20,30,50,60.57,58.85,1
1157,2024 Term 2,0.78,23,3,1.94,6.84,15.52,44.3,10,20,70,73.97,64.39,1
1158,2025 Term 1,0.85,20,5,2.12,5.64,27.46,32.07,10,40,50,59.47,68.95,0
1159,2024 Term 3,0.65,23,3,1.36,13.78,14.8,29.2,20,30,50,51.74,54.97,1
1160,2023 Term 3,0.89,18,3,2.24,3.02,33.31,29.12,10,40,50,62.69,64.69,0
1161,2024 Term 3,0.63,19,3,2.4,6.17,22.08,22.37,10,40,50,57.74,48.71,1
1162,2024 Term 1,0.68,19,0,0.0,9.1,34.96,40.81,10,40,50,81.44,75.0,0
1163,2023 Term 2,0.86,21,5,2.73,4.57,25.47,34.84,10,40,50,59.99,63.73,0
1164,2023 Term 2,0.67,21,4,2.05,12.61,10.88,47.46,15,25,60,69.25,73.67,1
1165,2024 Term 3,0.86,22,1,0.64,7.76,24.67,32.27,10,40,50,62.03,62.28,0
1166,2025 Term 2,0.58,19,1,0.53,7.56,15.94,43.95,15,25,60,72.93,66.95,0
1167,2025 Term 3,0.67,24,3,2.05,12.57,12.69,29.39,20,30,50,48.4,51.31,1
1168,2024 Term 2,0.79,24,4,2.36,11.28,19.82,41.64,15,25,60,67.47,72.8,1
1169,2025 Term 1,0.63,19,0,0.0,2.44,13.95,50.27,10,20,70,65.27,59.92,0
1170,2025 Term 3,0.71,24,5,3.0,6.43,19.24,45.75,10,30,60,71.07,67.45,1
1171,2023 Term 3,0.71,21,4,2.17,14.85,15.33,28.16,20,30,50,59.27,51.94,1
1172,2024 Term 2,0.88,24,5,3.0,12.96,20.77,41.02,20,30,50,78.3,69.35,1
1173,2025 Term 3,0.76,21,1,0.52,20,16.67,45.23,20,30,50,84.4,83.86,0
1174,2024 Term 1,0.47,19,2,1.55,6.47,20.02,32.24,20,30,50,54.61,59.45,0
1175,2025 Term 3,0.68,19,0,0.0,18.56,17.03,42.57,20,30,50,70.24,76.97,0
1176,2023 Term 3,0.62,21,3,1.98,9.88,21.15,39.19,20,30,50,63.65,69.41,1
1177,2025 Term 3,0.78,23,1,0.57,10,16.17,51.38,10,30,60,82.16,70.53,1
1178,2024 Term 2,0.89,18,4,2.56,10.33,27.52,35.23,20,30,50,72.98,78.1,0
1179,2025 Term 3,0.86,21,0,0.0,10,35.38,31.65,10,40,50,74.42,71.75,0
1180,2024 Term 1,0.63,19,3,1.82,4.89,7.3,54.03,10,20,70,65.86,71.19,1
1181,2023 Term 1,0.8,20,3,2.1,10.53,23.67,25.46,20,30,50,62.12,60.74,0
1182,2023 Term 1,0.87,23,2,0.93,15,24.54,50.73,15,25,60,93.31,90.49,0
1183,2024 Term 2,0.75,20,1,0.78,1.81,32.91,38.7,10,40,50,72.07,72.21,0
1184,2025 Term 2,0.79,24,1,0.67,15,12.98,44.25,15,25,60,75.49,63.48,1
1185,2023 Term 2,0.44,18,4,1.92,3.19,12.24,35.53,15,25,60,44.82,44.25,1
1186,2025 Term 2,0.61,18,0,0.0,9.64,19.22,45.04,15,25,60,76.66,68.83,0
1187,2023 Term 1,0.9,21,5,2.44,0,11.78,41.01,10,20,70,60.7,57.74,0
1188,2023 Term 2,0.9,21,3,1.42,10,29.17,47.57,10,30,60,85.47,92.63,0
1189,2025 Term 1,0.57,21,3,1.3,3.97,21.44,32.5,15,25,60,65.8,54.2,1
1190,2023 Term 3,0.96,23,0,0.0,10,34.14,42.47,10,40,50,91.78,80.57,1
1191,2024 Term 3,0.84,19,5,3.0,10,11.91,50.43,10,20,70,78.48,62.59,1
1192,2024 Term 1,0.78,18,0,0.0,3.76,9.3,53.78,10,20,70,67.48,68.91,0
1193,2023 Term 1,0.68,19,1,0.73,7.86,19.31,46.16,15,25,60,70.46,68.16,0
1194,2023 Term 3,0.78,23,3,1.56,7.97,15.4,53.65,10,20,70,71.82,77.88,1
1195,2025 Term 3,0.9,21,5,3.0,7.15,15.58,33.89,15,25,60,54.64,58.69,0
1196,2025 Term 2,0.63,19,2,1.49,10,25.74,40.99,10,30,60,84.21,75.65,1
1197,2023 Term 3,0.86,21,1,0.53,10,20,47.37,10,20,70,80.96,70.42,1
1198,2024 Term 2,0.57,21,4,1.66,1.39,16.42,48.7,10,20,70,67.45,64.18,1
1199,2024 Term 3,0.95,20,1,0.78,10,19.48,63.18,10,20,70,95.79,93.92,0
1200,2025 Term 1,0.68,19,2,1.1,12.86,14.79,39.41,15,25,60,73.18,64.52,1
1201,2025 Term 2,0.67,24,1,0.55,0,34.04,40.52,10,40,50,66.82,73.41,0
1202,2025 Term 1,0.9,20,2,0.98,15,19.27,49.04,15,25,60,86.27,77.43,1
1203,2025 Term 2,0.65,23,3,1.4,8.21,23.33,33.54,20,30,50,71.75,63.75,1
1204,2023 Term 1,1.0,22,5,2.1,6.05,19.7,47.32,10,20,70,76.38,63.22,1
1205,2025 Term 3,0.9,21,4,2.62,15,19.45,32.62,15,25,60,67.59,63.65,0
1206,2023 Term 1,0.68,22,4,3.0,6.08,14.85,41.03,10,20,70,69.0,54.83,1
1207,2023 Term 2,0.91,22,1,0.65,20,20.46,37.67,20,30,50,76.1,74.63,0
1208,2024 Term 1,0.87,23,5,3.0,9.07,18.24,50.94,10,20,70,71.75,74.32,0
1209,2025 Term 3,1.0,21,5,2.34,10,31.35,33.61,10,40,50,82.6,80.54,0
1210,2025 Term 3,0.89,18,5,3.0,3.01,32.62,36.67,10,40,50,68.79,70.99,0
1211,2023 Term 1,0.58,19,0,0.0,5.17,22.59,49.22,15,25,60,83.84,71.77,1
1212,2024 Term 1,0.59,22,5,3.0,9.68,20.67,34.08,20,30,50,67.46,55.68,1
1213,2024 Term 3,0.83,18,1,0.74,16.92,24.45,39.82,20,30,50,88.69,76.41,1
1214,2024 Term 2,0.75,24,1,0.54,6.39,32.44,40.29,10,40,50,72.49,79.02,0
1215,2024 Term 1,1.0,23,2,0.92,10,21.55,41.16,10,30,60,64.79,67.64,0
1216,2024 Term 3,0.92,24,1,0.43,7.23,32.95,38.57,10,40,50,71.17,74.41,0
1217,2023 Term 2,0.73,22,3,1.21,5.29,22.53,42.65,10,40,50,76.95,76.12,1
1218,2025 Term 3,0.58,19,1,0.46,10.31,16.07,29.06,20,30,50,51.86,50.24,0
1219,2023 Term 2,0.85,20,5,3.0,11.69,15.79,32.74,15,25,60,52.33,56.55,0
1220,2025 Term 1,0.67,24,3,1.6,4.24,14.26,48.31,15,25,60,62.02,61.84,1
1221,2025 Term 1,0.75,20,4,2.85,10.67,23.41,29.7,20,30,50,57.6,62.8,1
1222,2025 Term 3,0.53,19,0,0.0,10,24.3,40.81,10,40,50,80.41,66.22,1
1223,2025 Term 1,0.83,23,5,2.61,15.91,23.07,38.63,20,30,50,70.79,83.46,0
1224,2025 Term 2,0.68,22,4,3.0,6.74,28.23,27.67,10,40,50,68.97,61.23,1
1225,2023 Term 2,0.61,18,5,3.0,8.18,11.11,43.68,10,30,60,65.81,59.36,1
1226,2024 Term 3,0.88,24,0,0.0,8.31,24.68,50.29,10,30,60,84.48,80.41,0
1227,2025 Term 1,0.52,21,5,3.0,19.08,16.44,24.12,20,30,50,66.37,51.01,1
1228,2023 Term 3,0.8,20,3,2.14,9.97,16.74,39.87,15,25,60,69.73,61.68,1
1229,2024 Term 2,0.67,18,0,0.0,10,10.32,61.28,10,20,70,77.5,74.39,0
1230,2023 Term 3,0.65,20,3,1.48,8.79,22.45,36.38,10,40,50,65.95,69.42,1
1231,2024 Term 1,0.67,21,3,1.21,2.2,24.25,46.99,10,30,60,66.44,65.07,1
1232,2025 Term 3,0.79,19,1,0.58,17.89,22.59,46.29,20,30,50,83.78,82.99,0
1233,2025 Term 1,0.91,22,2,1.48,6.0,21.16,50.35,15,25,60,84.21,76.95,0
1234,2023 Term 3,0.95,20,2,0.89,18.9,23.87,38.05,20,30,50,75.03,76.96,0
1235,2023 Term 3,0.57,21,5,3.0,6.59,16.98,27.79,10,30,60,48.39,48.58,1
1236,2023 Term 1,0.92,24,3,1.36,10,30.4,37.81,10,40,50,81.17,74.86,0
1237,2025 Term 2,0.95,21,4,1.65,4.2,19.42,45.83,10,30,60,64.14,66.77,0
1238,2025 Term 2,0.82,22,4,1.78,15,15.81,48.23,15,25,60,71.71,80.54,0
1239,2025 Term 3,0.84,19,5,3.0,3.28,26.55,38.22,10,30,60,65.63,71.12,0
1240,2025 Term 2,0.96,24,1,0.72,15,25,50.1,15,25,60,88.95,89.96,0
1241,2024 Term 1,0.96,24,4,2.16,16.15,17.26,45.12,20,30,50,75.21,77.69,0
1242,2025 Term 3,0.74,23,1,0.79,10,36.19,43.23,10,40,50,83.45,93.28,0
1243,2024 Term 1,0.63,19,1,0.7,6.87,29.24,31.04,10,40,50,65.78,64.38,0
1244,2023 Term 2,0.71,21,5,3.0,11.54,18.22,32.13,20,30,50,67.79,65.44,1
1245,2023 Term 2,0.78,23,0,0.0,3.33,30.38,34.01,10,40,50,64.02,70.97,0
1246,2024 Term 3,0.77,22,4,2.96,18.97,22.66,23.48,20,30,50,67.13,68.5,1
1247,2023 Term 1,0.61,18,3,1.75,1.69,28.46,25.65,10,40,50,58.2,48.34,1
1248,2024 Term 2,0.61,18,2,0.87,0,22.44,45.44,10,30,60,71.96,64.75,0
1249,2023 Term 2,1.0,23,1,0.59,9.7,24.89,48.24,10,30,60,74.96,78.33,0
1250,2023 Term 2,0.83,24,3,1.28,0.78,33.68,29.61,10,40,50,61.95,58.86,0
1251,2025 Term 1,0.71,24,5,3.0,0,19.28,38.77,10,30,60,52.68,53.67,1
1252,2024 Term 1,0.74,23,3,1.94,10,21.21,26.56,10,40,50,61.81,57.2,1
1253,2025 Term 1,0.75,20,1,0.5,3.47,16.41,56.48,10,20,70,72.92,81.42,0
1254,2023 Term 1,0.67,24,1,0.61,5.83,16.5,45.86,15,25,60,72.73,70.89,0
1255,2024 Term 1,0.86,21,1,0.6,4.81,24.89,37.9,15,25,60,65.38,62.66,0
1256,2025 Term 1,0.58,24,3,1.64,10,25.62,43.39,10,30,60,71.28,70.09,1
1257,2024 Term 2,1.0,19,3,1.81,15,17.92,43.81,15,25,60,78.98,75.33,0
1258,2023 Term 3,0.9,20,0,0.0,10,19.78,46.08,10,30,60,77.24,78.07,0
1259,2023 Term 2,0.6,20,5,3.0,0,11.61,33.62,10,30,60,44.48,44.97,1
1260,2024 Term 2,0.74,23,0,0.0,10,18.45,54.47,10,30,60,83.29,85.45,0
1261,2024 Term 2,0.84,19,5,3.0,16.77,14.21,39.8,20,30,50,68.14,67.65,0
1262,2025 Term 3,0.67,18,5,2.15,6.61,19.52,38.64,10,40,50,59.44,57.29,1
1263,2023 Term 2,0.77,22,1,0.7,0.16,20,47.62,10,20,70,67.33,63.91,0
1264,2023 Term 3,0.68,19,4,2.88,1.69,20.88,37.99,10,40,50,57.68,63.78,1
1265,2024 Term 3,0.78,18,1,0.49,15,25,37.81,15,25,60,77.25,72.33,0
1266,2024 Term 2,0.8,20,3,1.21,3.96,25.87,48.08,10,30,60,73.79,73.8,0
1267,2025 Term 2,0.71,24,5,3.0,0.54,24.44,28.21,10,30,60,53.85,53.37,1
1268,2023 Term 1,0.85,20,5,3.0,1.83,19.86,44.41,10,20,70,73.48,71.66,0
1269,2023 Term 3,0.91,23,0,0.0,10.95,25,48.63,15,25,60,88.55,83.87,0
1270,2025 Term 3,0.58,19,0,0.0,6.2,20,45.94,10,20,70,68.32,67.18,0
1271,2025 Term 1,0.65,23,2,1.16,0.06,16.45,46.26,10,30,60,64.13,55.26,1
1272,2023 Term 3,0.76,21,3,1.34,20,17.24,32.1,20,30,50,65.58,61.26,1
1273,2023 Term 3,0.71,24,5,3.0,1.57,17.25,36.58,10,20,70,58.78,60.89,1
1274,2025 Term 1,0.91,22,2,1.46,0,21.16,44.14,10,30,60,69.27,59.3,1
