attendance,behavior,quiz_score,mid_score,final_score,previous_grade,current_grade,decline
present,not active,96,53,63,75,67,1
present,disturbing,82,80,84,99,74,1
late,not active,93,91,87,92,82,1
present,active,57,58,78,66,64,1
late,not active,83,82,86,52,75,0
present,not active,56,50,56,55,51,1
present,disturbing,81,55,79,54,63,0
late,disturbing,66,41,97,60,55,1
late,not active,42,77,87,57,60,0
late,not active,68,99,68,93,70,1
late,not active,76,85,99,96,78,1
absent,active,76,59,79,99,61,1
present,active,85,50,87,88,74,1
present,active,87,91,94,60,90,0
absent,disturbing,57,91,98,76,64,1
present,not active,44,86,99,74,73,1
late,active,93,59,81,57,72,0
absent,not active,95,54,40,99,50,1
present,disturbing,47,72,84,51,59,0
present,not active,48,61,53,54,51,1
late,active,63,83,45,79,58,1
late,active,94,76,41,72,65,1
late,not active,60,76,50,73,54,1
late,not active,60,67,90,86,64,1
absent,not active,50,97,83,80,63,1
late,disturbing,48,83,59,58,50,1
absent,not active,69,58,59,81,49,1
late,active,88,49,70,71,64,1
late,not active,52,69,74,61,57,1
late,not active,69,99,42,91,62,1
present,active,62,97,77,75,78,0
late,active,88,54,88,85,71,1
absent,active,63,62,98,56,64,0
late,active,76,65,63,58,63,0
late,disturbing,68,52,71,97,50,1
absent,not active,79,45,70,91,51,1
absent,not active,86,46,77,51,56,0
absent,active,80,85,88,53,74,0
present,disturbing,72,61,61,51,56,0
present,not active,80,80,84,80,78,1
present,disturbing,44,60,55,77,45,1
late,not active,86,74,46,66,60,1
absent,disturbing,63,85,43,61,45,1
late,not active,64,95,70,75,68,1
absent,disturbing,98,94,64,77,67,1
late,disturbing,85,40,79,57,55,1
present,not active,58,43,49,74,47,1
late,active,84,60,67,100,65,1
present,active,81,45,71,70,65,1
present,not active,84,90,94,55,86,0
absent,disturbing,74,97,85,59,67,0
present,not active,54,91,48,65,61,1
late,not active,53,98,43,76,56,1
late,not active,72,79,100,78,75,1
late,not active,91,80,46,68,64,1
late,disturbing,53,46,59,82,39,1
present,disturbing,84,74,59,83,64,1
late,disturbing,58,64,47,65,43,1
present,not active,73,84,90,61,79,0
present,disturbing,52,49,90,84,55,1
absent,not active,98,61,42,98,54,1
present,not active,79,74,52,52,65,0
late,active,50,42,76,79,51,1
late,active,83,42,47,59,52,1
present,disturbing,55,46,82,67,53,1
absent,not active,47,61,66,96,45,1
late,disturbing,53,95,62,87,57,1
late,not active,61,84,87,75,69,1
absent,disturbing,68,68,59,83,47,1
absent,disturbing,41,61,57,87,35,1
late,active,77,54,63,71,59,1
present,active,47,84,89,63,73,0
present,not active,90,43,88,51,70,0
present,not active,45,72,76,56,61,0
present,active,66,96,85,96,82,1
absent,active,66,56,64,91,52,1
present,active,85,83,78,60,82,0
absent,disturbing,57,79,61,64,47,1
present,disturbing,74,100,81,54,77,0
present,active,90,76,86,75,84,0
late,active,59,42,99,84,61,1
absent,active,99,88,99,63,85,0
absent,disturbing,76,82,41,64,48,1
present,not active,94,81,66,99,77,1
absent,disturbing,75,61,44,68,42,1
absent,active,59,76,48,77,51,1
absent,disturbing,75,48,77,76,48,1
absent,disturbing,74,88,60,73,56,1
present,not active,100,66,92,54,83,0
present,not active,100,57,94,56,80,0
absent,active,86,41,73,53,56,0
present,disturbing,73,50,65,89,54,1
present,not active,100,97,72,90,86,1
late,disturbing,62,71,83,58,59,0
late,not active,55,57,50,54,46,1
absent,active,85,65,44,90,54,1
late,not active,77,90,76,60,73,0
present,disturbing,70,48,81,78,58,1
absent,not active,44,48,58,75,37,1
present,active,62,69,84,71,71,0
late,not active,55,43,81,66,51,1
absent,disturbing,53,86,91,64,58,1
late,disturbing,52,67,53,98,44,1
absent,disturbing,86,75,89,59,65,0
late,disturbing,44,48,49,91,34,1
present,disturbing,98,86,49,85,69,1
late,disturbing,67,47,85,74,53,1
late,not active,99,84,60,91,73,1
present,not active,68,58,70,51,62,0
absent,active,97,41,66,53,58,0
absent,disturbing,79,42,51,70,39,1
late,active,76,88,47,68,65,1
late,active,54,99,40,52,59,0
present,not active,73,42,72,57,59,0
late,disturbing,55,93,99,97,69,1
present,disturbing,67,83,42,83,56,1
absent,active,48,81,96,76,65,1
present,disturbing,99,48,95,86,72,1
absent,active,66,98,61,95,65,1
absent,disturbing,70,76,61,76,51,1
absent,not active,81,57,63,78,54,1
absent,disturbing,80,91,52,54,56,0
present,active,62,78,67,97,69,1
present,not active,42,56,65,57,51,1
present,not active,55,49,41,77,45,1
present,not active,83,70,40,90,61,1
absent,not active,66,81,77,77,61,1
present,disturbing,91,45,65,55,59,0
present,disturbing,44,60,76,76,52,1
absent,active,78,44,72,87,54,1
absent,not active,89,43,68,70,53,1
absent,not active,42,44,88,79,45,1
late,disturbing,77,55,88,50,60,0
absent,not active,93,50,97,56,67,0
present,not active,87,87,99,73,88,0
late,not active,67,86,60,53,63,0
absent,active,62,90,91,53,71,0
present,not active,94,68,59,84,70,1
present,disturbing,61,69,48,95,51,1
absent,active,67,97,44,64,59,1
absent,disturbing,94,57,84,89,60,1
late,active,89,68,53,53,65,0
late,active,64,70,88,96,69,1
present,active,97,80,86,71,87,0
absent,active,49,95,56,77,56,1
late,disturbing,69,69,77,71,58,1
absent,disturbing,98,84,93,70,73,0
present,not active,69,45,72,52,59,0
present,disturbing,94,93,73,55,78,0
absent,not active,51,57,58,79,42,1
late,not active,44,77,45,68,47,1
absent,not active,84,98,71,77,71,1
absent,active,40,56,72,54,46,1
absent,not active,54,91,68,87,58,1
absent,disturbing,42,62,59,53,36,1
present,disturbing,81,69,54,50,60,0
present,not active,80,94,81,64,82,0
absent,disturbing,54,42,54,50,32,1
absent,disturbing,95,97,73,78,70,1
late,active,60,69,53,63,55,1
absent,disturbing,92,81,61,77,60,1
late,disturbing,40,55,43,70,33,1
late,active,57,90,72,69,68,1
absent,not active,63,63,93,88,60,1
present,not active,59,84,86,70,73,0
present,active,50,84,74,77,69,1
present,active,44,61,88,51,64,0
late,active,89,46,95,99,71,1
absent,disturbing,49,62,44,69,33,1
absent,not active,80,97,40,89,59,1
absent,not active,57,79,50,68,49,1
present,not active,64,92,73,82,73,1
late,not active,87,68,76,73,69,1
present,disturbing,66,89,47,66,59,1
late,disturbing,79,80,64,56,61,0
late,disturbing,43,59,90,95,51,1
absent,not active,59,43,87,97,50,1
absent,active,48,54,62,76,44,1
late,active,81,90,77,64,77,0
present,disturbing,98,60,68,55,67,0
late,active,95,98,60,53,79,0
late,not active,80,55,86,68,65,1
late,disturbing,48,51,57,52,39,1
late,disturbing,82,59,60,83,54,1
present,not active,86,99,88,50,88,0
absent,disturbing,54,95,56,56,50,1
present,not active,70,51,96,76,69,1
absent,not active,66,79,53,98,53,1
late,active,86,92,100,64,87,0
present,not active,65,53,40,74,49,1
absent,active,54,71,96,69,63,1
late,disturbing,98,81,46,71,62,1
late,disturbing,49,85,47,67,47,1
present,not active,80,63,43,86,59,1
absent,active,58,96,85,74,69,1
present,active,85,62,70,82,72,1
late,active,55,60,61,62,53,1
present,disturbing,88,65,85,67,71,0
absent,active,40,94,60,96,54,1
late,disturbing,68,60,87,57,58,0
late,not active,52,85,66,62,59,1
late,not active,93,66,55,80,63,1
late,not active,82,82,47,84,62,1
absent,active,75,62,75,82,60,1
late,not active,94,63,52,58,61,0
present,active,79,77,92,87,82,1
late,disturbing,53,88,89,67,63,1
late,active,97,86,99,74,89,0
late,active,52,59,92,71,62,1
present,disturbing,48,81,75,54,60,0
late,active,87,61,69,93,67,1
absent,disturbing,56,51,75,98,42,1
late,disturbing,66,87,70,84,61,1
present,disturbing,85,72,90,75,74,1
late,disturbing,86,64,49,71,53,1
absent,active,43,68,72,87,51,1
present,active,50,68,42,83,53,1
late,disturbing,76,41,90,81,56,1
present,active,93,83,78,74,84,0
late,active,93,45,76,95,66,1
absent,disturbing,97,55,46,78,48,1
absent,active,45,74,78,89,55,1
present,disturbing,79,74,78,94,69,1
late,disturbing,53,56,41,82,37,1
present,disturbing,82,89,88,82,78,1
late,active,87,97,43,76,70,1
absent,not active,49,43,69,77,40,1
present,active,58,99,88,88,81,1
present,active,69,99,50,87,72,1
late,disturbing,71,89,44,90,55,1
absent,active,69,50,41,57,43,1
late,disturbing,62,51,78,69,50,1
late,not active,58,57,57,50,49,1
present,not active,59,85,77,87,70,1
absent,active,76,64,77,85,62,1
present,active,72,71,97,92,80,1
late,not active,79,62,62,64,59,1
absent,active,60,41,74,50,48,1
late,not active,100,99,85,90,86,1
absent,disturbing,95,70,81,69,64,1
present,not active,42,88,65,71,62,1
absent,not active,78,73,71,87,61,1
absent,active,75,89,74,90,69,1
present,not active,42,45,50,78,42,1
late,disturbing,81,64,83,90,63,1
absent,active,84,71,85,62,70,0
late,active,79,96,52,81,70,1
present,not active,47,83,77,98,66,1
absent,active,74,99,79,78,74,1
present,disturbing,86,58,88,51,69,0
late,not active,68,77,91,72,70,1
present,active,98,65,43,58,68,0
absent,not active,84,66,80,100,63,1
present,disturbing,98,82,92,73,82,0
present,disturbing,68,61,93,92,66,1
present,disturbing,41,65,85,93,55,1
present,disturbing,43,85,89,81,64,1
present,disturbing,70,45,68,63,53,1
present,active,96,100,86,96,94,1
absent,disturbing,64,95,78,99,61,1
present,not active,66,82,98,80,79,1
absent,active,93,52,47,84,54,1
present,not active,73,45,96,53,68,0
present,disturbing,44,53,44,97,39,1
present,not active,95,89,81,57,85,0
present,not active,55,75,57,82,59,1
late,disturbing,42,98,49,92,50,1
absent,disturbing,49,86,81,80,54,1
late,disturbing,58,82,60,55,53,1
late,not active,41,97,52,76,55,1
present,disturbing,52,67,94,83,63,1
absent,disturbing,80,70,79,93,58,1
late,disturbing,64,59,43,96,42,1
present,disturbing,91,63,50,57,60,0
absent,disturbing,79,76,66,80,55,1
late,active,85,53,46,52,56,0
present,not active,78,84,86,89,79,1
late,not active,72,68,59,91,58,1
present,active,89,58,43,54,63,0
present,not active,96,79,86,86,84,1
present,not active,50,47,40,76,42,1
late,active,66,74,47,69,57,1
absent,disturbing,56,57,93,65,50,1
late,active,85,94,80,64,81,0
present,disturbing,98,59,64,88,65,1
late,active,86,50,98,95,73,1
late,active,85,68,66,60,68,0
present,disturbing,98,60,79,92,71,1
absent,not active,45,50,95,84,50,1
absent,active,48,47,71,96,45,1
late,not active,48,90,66,65,60,1
present,not active,83,53,74,51,67,0
present,not active,41,99,97,81,76,1
absent,active,87,77,93,85,75,1
late,not active,97,85,49,55,69,0
present,active,77,91,45,80,71,1
late,not active,61,92,68,70,65,1
late,not active,91,86,48,77,67,1
absent,disturbing,72,82,76,97,58,1
absent,not active,53,81,61,100,52,1
absent,not active,97,67,93,97,72,1
absent,active,46,98,96,80,70,1
present,active,51,100,95,93,82,1
late,disturbing,55,85,61,64,54,1
present,not active,60,69,89,53,69,0
present,disturbing,66,43,92,64,59,1
absent,not active,87,77,48,63,57,1
absent,not active,51,64,46,76,40,1
absent,disturbing,69,72,67,61,51,1
present,disturbing,79,49,98,74,67,1
late,disturbing,90,93,77,83,73,1
late,disturbing,62,64,70,50,52,0
absent,not active,96,88,44,65,63,1
late,not active,48,54,92,69,56,1
present,not active,42,87,54,90,58,1
late,disturbing,61,52,70,53,48,1
absent,disturbing,96,77,84,82,67,1
absent,active,55,43,78,51,48,1
present,not active,90,62,59,81,67,1
late,active,76,76,54,65,63,1
late,active,92,98,51,96,75,1
present,not active,90,68,71,60,73,0
absent,disturbing,99,56,69,81,56,1
absent,not active,51,63,74,52,49,1
absent,disturbing,95,79,60,98,60,1
late,active,86,73,68,95,70,1
present,disturbing,74,84,64,57,66,0
late,disturbing,55,75,67,80,52,1
absent,disturbing,40,67,58,74,37,1
absent,not active,90,64,61,84,58,1
late,not active,93,93,97,72,86,0
present,active,73,41,66,74,60,1
absent,disturbing,46,95,84,75,57,1
late,not active,41,66,47,96,43,1
late,active,98,45,54,91,60,1
present,active,76,75,72,93,74,1
late,disturbing,45,72,83,91,53,1
present,active,84,41,86,55,70,0
absent,active,89,40,97,91,65,1
absent,active,72,59,60,62,53,1
late,disturbing,58,87,63,66,56,1
absent,active,89,55,50,98,54,1
late,active,92,52,95,96,74,1
present,not active,50,80,47,92,56,1
present,disturbing,90,64,73,70,67,1
absent,not active,56,93,89,77,66,1
absent,active,95,60,87,75,70,1
absent,disturbing,66,42,42,72,32,1
absent,active,44,50,85,54,49,1
absent,not active,57,60,65,75,47,1
present,disturbing,83,95,56,91,70,1
late,disturbing,94,99,52,89,68,1
late,not active,96,76,44,60,64,0
absent,active,92,70,75,88,69,1
present,not active,60,77,73,50,67,0
late,not active,72,69,89,65,68,0
late,not active,97,55,96,87,74,1
late,not active,43,75,71,60,55,1
present,active,49,56,87,54,64,0
late,not active,68,83,50,65,59,1
present,not active,58,57,62,71,56,1
absent,not active,95,85,90,58,77,0
absent,active,76,86,94,95,75,1
late,disturbing,64,58,45,58,42,1
present,disturbing,52,89,73,84,63,1
present,disturbing,49,51,61,78,45,1
absent,not active,62,93,85,57,67,0
late,not active,86,81,62,77,68,1
absent,not active,83,85,99,72,76,0
absent,not active,93,81,66,69,67,1
absent,disturbing,84,83,61,72,58,1
present,disturbing,58,79,89,66,67,0
late,disturbing,55,40,68,59,41,1
present,active,76,74,76,78,75,1
present,active,77,53,63,83,64,1
present,not active,41,74,56,76,54,1
present,disturbing,59,51,69,76,51,1
absent,active,60,98,62,73,63,1
absent,active,58,70,64,72,54,1
late,disturbing,65,67,51,53,48,1
absent,not active,57,92,85,76,65,1
late,not active,43,62,82,84,54,1
absent,active,67,100,72,84,69,1
absent,active,66,80,90,81,68,1
late,not active,65,77,65,96,61,1
late,disturbing,65,89,65,81,60,1
late,disturbing,99,64,86,93,70,1
present,not active,80,43,73,59,62,0
present,disturbing,59,63,48,97,48,1
late,disturbing,66,87,81,95,65,1
present,not active,70,89,79,73,76,0
late,active,90,60,73,73,69,1
present,not active,46,93,96,89,75,1
present,disturbing,56,66,86,63,61,1
absent,disturbing,64,49,42,75,33,1
absent,not active,67,48,53,66,43,1
present,not active,42,69,94,97,65,1
absent,active,46,75,86,84,59,1
absent,not active,40,87,71,96,53,1
absent,disturbing,61,74,66,89,49,1
absent,disturbing,64,93,98,73,67,1
absent,active,70,57,81,89,59,1
present,active,51,54,69,97,58,1
present,disturbing,94,91,42,69,67,1
late,not active,73,74,87,74,70,1
late,active,78,89,95,71,82,0
absent,disturbing,51,45,100,64,47,1
late,disturbing,77,57,73,56,56,0
present,active,43,93,53,50,63,0
late,disturbing,61,57,50,58,43,1
late,active,90,96,48,60,73,0
late,active,88,47,93,58,71,0
absent,disturbing,84,47,69,76,48,1
present,disturbing,87,66,99,52,76,0
absent,disturbing,74,89,57,98,55,1
late,active,74,98,57,87,71,1
present,not active,52,55,52,60,50,1
late,active,64,54,66,99,56,1
absent,active,89,65,85,72,69,1
present,not active,66,40,58,52,51,1
late,not active,99,84,69,96,76,1
present,not active,51,43,57,90,47,1
late,disturbing,57,55,93,93,55,1
late,active,58,86,44,95,57,1
late,not active,77,90,76,76,73,1
late,not active,55,75,67,90,57,1
absent,not active,93,44,63,91,53,1
late,active,87,100,43,57,71,0
present,not active,74,62,41,89,56,1
absent,disturbing,54,80,46,57,42,1
absent,disturbing,75,69,87,72,59,1
late,active,96,65,92,98,79,1
present,not active,50,100,93,55,78,0
present,disturbing,85,50,62,89,57,1
late,active,96,85,71,70,79,0
absent,not active,86,42,76,57,55,1
absent,disturbing,41,63,73,50,41,1
present,not active,58,68,78,61,65,0
late,active,92,92,97,81,88,0
absent,disturbing,72,90,48,74,52,1
late,disturbing,96,65,94,89,72,1
absent,disturbing,88,53,97,64,61,1
absent,disturbing,81,76,74,84,59,1
absent,not active,79,51,47,77,46,1
late,not active,64,80,80,90,66,1
present,not active,58,53,47,50,49,1
late,active,99,99,65,56,82,0
absent,not active,43,53,56,80,37,1
absent,active,41,89,69,63,56,1
present,active,90,52,86,79,76,1
absent,active,83,52,80,51,61,0
present,disturbing,70,87,60,86,64,1
present,disturbing,93,87,41,70,65,1
late,active,91,45,55,87,58,1
absent,disturbing,57,85,49,51,45,1
late,not active,61,54,51,89,47,1
absent,not active,63,50,98,65,57,1
absent,active,69,45,63,100,49,1
present,not active,63,69,98,79,73,1
absent,active,69,76,43,89,52,1
late,active,80,63,77,55,68,0
absent,not active,59,44,87,59,50,1
present,not active,62,60,50,58,54,1
present,disturbing,84,84,92,84,78,1
late,not active,82,63,42,94,54,1
late,active,86,57,84,99,70,1
present,not active,85,45,79,58,66,0
absent,not active,44,60,80,60,48,1
present,not active,57,99,64,63,70,0
late,disturbing,92,98,52,58,67,0
absent,disturbing,80,79,40,73,48,1
absent,active,44,69,87,98,56,1
absent,active,72,96,97,80,78,1
present,disturbing,86,40,96,88,66,1
absent,not active,68,53,58,64,46,1
present,disturbing,55,87,62,60,60,0
late,not active,89,51,76,54,64,0
present,not active,59,79,83,72,70,1
present,disturbing,50,96,70,69,64,1
present,not active,63,82,84,80,73,1
late,not active,80,48,64,88,56,1
absent,disturbing,85,94,42,51,55,0
late,active,67,95,91,54,79,0
present,active,99,48,98,81,81,0
late,disturbing,92,84,65,59,67,0
present,disturbing,78,77,71,87,67,1
present,not active,53,53,98,51,65,0
late,disturbing,83,54,85,52,61,0
present,not active,56,40,97,83,61,1
late,disturbing,47,68,79,74,51,1
absent,active,45,51,98,68,54,1
absent,not active,40,98,51,92,50,1
absent,not active,90,53,93,53,65,0
present,active,60,42,57,95,53,1
late,not active,94,68,95,61,77,0
late,active,82,45,74,95,62,1
late,disturbing,87,48,44,53,46,1
absent,disturbing,44,94,94,100,59,1
absent,not active,55,96,56,82,56,1
present,active,70,48,78,52,65,0
late,active,67,70,95,71,72,0
present,not active,48,82,69,54,63,0
late,disturbing,61,40,62,69,41,1
late,not active,59,87,91,52,71,0
present,not active,49,100,44,95,61,1
present,disturbing,62,90,46,61,58,1
absent,disturbing,100,46,86,93,59,1
present,active,62,84,99,77,81,0
absent,active,64,60,65,54,53,1
present,active,100,89,56,97,81,1
late,active,66,52,53,65,52,1
present,disturbing,43,60,76,51,51,0
late,disturbing,76,47,64,91,49,1
present,active,89,62,88,55,79,0
late,disturbing,41,48,94,79,48,1
late,not active,80,91,98,55,81,0
late,active,66,47,52,95,50,1
absent,active,49,88,84,69,63,1
present,active,97,45,73,61,71,0
absent,disturbing,53,93,69,90,53,1
present,active,53,62,82,51,65,0
absent,active,83,100,98,66,83,0
late,disturbing,64,58,49,96,44,1
late,not active,46,62,82,92,55,1
late,not active,80,49,75,93,60,1
late,not active,77,74,72,73,66,1
absent,not active,40,61,69,53,43,1
late,disturbing,83,97,86,91,75,1
present,active,68,46,47,61,53,1
present,not active,69,41,71,57,57,0
present,not active,91,70,78,59,76,0
late,not active,46,82,53,77,52,1
absent,active,52,51,80,88,51,1
present,disturbing,87,78,51,74,64,1
late,disturbing,56,49,53,96,39,1
late,not active,93,79,82,55,76,0
late,not active,48,87,77,79,62,1
present,active,88,58,91,96,79,1
present,not active,69,47,89,88,65,1
absent,not active,85,54,55,86,51,1
absent,not active,47,94,67,70,56,1
absent,active,53,52,85,77,53,1
absent,active,54,45,85,59,51,1
absent,active,65,98,49,83,60,1
late,disturbing,82,57,42,93,47,1
absent,not active,59,66,83,52,56,0
present,not active,58,75,60,56,61,0
late,disturbing,98,98,46,66,67,0
late,disturbing,42,49,85,83,45,1
absent,active,87,92,56,74,68,1
late,not active,56,88,82,64,67,0
present,not active,66,59,62,81,59,1
absent,active,86,61,73,57,63,0
late,disturbing,72,43,49,52,41,1
late,not active,53,65,91,73,61,1
absent,not active,100,95,88,83,81,1
present,not active,67,54,68,64,60,1
late,not active,81,89,95,94,80,1
present,disturbing,56,78,80,78,63,1
present,disturbing,94,81,79,86,76,1
absent,active,100,87,40,81,65,1
absent,not active,92,53,91,80,65,1
late,active,51,80,62,96,59,1
absent,not active,42,81,98,63,60,1
absent,active,96,87,69,58,74,0
absent,not active,99,94,59,99,71,1
late,disturbing,56,64,47,98,42,1
absent,disturbing,53,61,43,84,34,1
absent,not active,69,97,50,91,59,1
absent,disturbing,79,78,82,70,61,1
absent,not active,74,85,99,72,73,0
absent,disturbing,50,90,89,65,58,1
present,active,80,89,68,69,79,0
present,not active,44,60,66,71,53,1
absent,disturbing,59,85,75,76,55,1
absent,active,61,70,71,55,57,0
present,active,86,86,45,84,72,1
late,disturbing,100,66,82,99,69,1
present,not active,45,51,93,54,60,0
late,disturbing,88,55,44,95,49,1
present,disturbing,71,67,45,97,53,1
present,disturbing,91,76,57,74,66,1
absent,not active,100,70,58,63,63,0
present,disturbing,60,49,64,96,49,1
absent,not active,50,76,47,84,44,1
late,active,81,53,73,93,64,1
absent,active,64,55,78,74,55,1
present,disturbing,64,94,86,96,73,1
present,active,78,50,61,80,63,1
absent,active,65,63,98,69,65,1
late,not active,87,84,68,55,71,0
absent,not active,54,68,73,67,52,1
present,disturbing,95,96,88,99,85,1
late,not active,56,98,79,56,69,0
late,disturbing,55,60,88,95,54,1
present,not active,42,82,41,71,52,1
absent,disturbing,53,93,49,61,47,1
absent,disturbing,44,88,92,82,56,1
present,active,90,54,77,91,73,1
late,not active,54,67,94,62,63,0
present,not active,74,95,61,100,73,1
absent,active,69,44,76,63,53,1
late,disturbing,100,99,86,99,82,1
present,active,68,87,100,64,85,0
absent,not active,42,94,55,94,50,1
late,disturbing,53,40,48,97,34,1
present,disturbing,96,72,63,87,69,1
late,active,63,58,65,70,57,1
absent,not active,56,61,69,62,49,1
absent,disturbing,96,72,41,94,51,1
late,disturbing,42,63,98,61,54,1
absent,disturbing,97,46,68,89,52,1
late,not active,86,46,97,76,68,1
present,disturbing,55,79,73,56,61,0
present,disturbing,93,89,97,87,85,1
late,active,92,49,53,54,59,0
absent,not active,50,73,46,81,43,1
late,not active,52,49,42,61,39,1
late,not active,78,59,86,91,66,1
absent,active,70,61,68,90,56,1
absent,not active,64,61,46,76,44,1
present,active,56,92,98,54,82,0
late,active,54,65,72,96,58,1
present,not active,76,64,72,97,67,1
absent,disturbing,95,53,64,50,52,0
absent,disturbing,42,85,42,65,38,1
absent,active,48,71,61,81,50,1
late,disturbing,49,94,84,75,62,1
absent,not active,45,44,63,89,37,1
present,active,87,100,83,83,90,0
late,not active,86,42,46,57,50,1
absent,disturbing,51,79,90,77,55,1
absent,disturbing,73,45,84,69,49,1
present,disturbing,86,52,47,51,53,0
present,not active,92,55,93,68,77,0
absent,active,52,49,90,67,53,1
late,not active,56,67,43,67,47,1
present,active,99,97,81,90,92,0
absent,disturbing,96,48,56,95,48,1
late,not active,86,92,81,56,78,0
late,active,58,63,88,97,64,1
late,disturbing,98,77,44,85,60,1
late,not active,93,43,90,75,67,1
late,not active,99,71,53,77,66,1
late,disturbing,55,100,72,99,62,1
absent,disturbing,73,69,46,84,44,1
present,active,95,40,66,91,67,1
late,active,56,97,90,98,76,1
late,not active,54,68,70,95,56,1
late,not active,86,42,61,64,55,1
present,disturbing,80,64,63,80,61,1
present,disturbing,49,82,60,57,55,1
late,not active,53,87,72,92,62,1
present,active,82,91,73,84,82,1
late,disturbing,51,46,41,100,33,1
present,not active,96,98,93,85,92,0
absent,not active,47,60,44,55,37,1
late,active,65,49,75,90,58,1
present,disturbing,95,100,44,94,71,1
late,disturbing,60,64,42,91,42,1
present,disturbing,82,77,66,84,67,1
late,disturbing,89,90,98,91,79,1
absent,active,86,74,80,52,70,0
present,disturbing,64,52,64,86,52,1
late,active,97,55,60,96,65,1
late,not active,56,85,41,77,52,1
present,disturbing,85,43,79,88,61,1
absent,disturbing,99,61,55,91,53,1
late,active,63,53,59,84,53,1
absent,not active,94,52,47,89,51,1
present,active,60,97,81,51,79,0
present,active,99,97,67,96,87,1
present,active,96,99,64,75,86,0
late,disturbing,91,94,96,88,80,1
late,active,95,62,65,70,69,1
present,not active,63,51,51,88,52,1
late,not active,54,49,84,53,54,0
present,active,74,70,98,90,80,1
absent,not active,75,42,87,91,55,1
present,disturbing,60,71,68,94,58,1
absent,disturbing,75,80,95,88,65,1
late,active,73,81,98,85,79,1
present,active,46,92,83,91,73,1
absent,active,57,83,64,64,58,1
absent,not active,85,92,66,54,68,0
absent,active,100,100,46,58,72,0
absent,active,48,56,53,82,42,1
present,not active,74,79,85,71,76,0
absent,active,93,98,79,57,80,0
absent,not active,46,97,75,61,59,1
absent,not active,97,51,76,50,61,0
absent,disturbing,92,98,51,59,62,0
absent,not active,50,78,44,80,44,1
absent,disturbing,57,48,62,82,37,1
absent,active,93,62,80,72,68,1
present,active,84,58,63,57,68,0
late,not active,83,56,81,66,65,1
present,disturbing,69,98,57,68,66,1
late,disturbing,55,83,62,98,53,1
late,not active,60,42,93,94,57,1
late,disturbing,58,65,67,82,50,1
absent,active,75,42,69,97,52,1
late,disturbing,76,44,55,64,45,1
present,not active,87,83,45,64,68,0
late,disturbing,67,56,74,96,52,1
absent,not active,49,70,91,77,57,1
absent,not active,99,41,97,66,66,0
late,not active,96,53,79,98,68,1
absent,active,70,41,62,95,47,1
present,not active,70,50,81,96,64,1
